gene 	 shG9a_E2-
RP13-25N22.1 	 1658
ABHD10 	 426
BCCIP 	 604
TERF2 	 445
BRMS1L 	 651
DVL1 	 75
SF3A1 	 570
NES 	 945
RPL21P39 	 0
NIT2 	 669
SLC48A1 	 698
SMCR7L 	 545
DUSP22 	 676
ACTR5 	 414
RP11-517A5.4 	 307
CRHR1-IT1 	 672
TTBK2 	 682
HGS 	 646
ST6GALNAC2 	 732
RDH14 	 620
DOCK6 	 910
PRKRIRP7 	 247
NBEAL1 	 919
SRD5A1 	 393
RP11-363E7.4 	 644
AC083799.1 	 700
MAP2K1 	 353
ZFYVE26 	 803
RAB11FIP1P1 	 496
MYO6 	 556
EFNA5 	 618
ZNF532 	 756
ZNF416 	 376
XKR9 	 79
C10orf114 	 818
MRGPRX3 	 128
DEGS2 	 265
STK17B 	 814
PLSCR1 	 620
MED4 	 626
ARHGAP32 	 572
RP11-446H18.3 	 781
PPP4R2 	 484
AC091814.3 	 86
DNAJC21 	 596
POGLUT1 	 295
TENM3 	 270
EIF2B2 	 616
RP11-179H18.2 	 496
SNHG7 	 468
LIF 	 1049
RP11-65F13.1 	 274
ZNF280C 	 400
CTBP1-AS1 	 391
NDUFV1 	 479
EFNB3 	 387
RNF152 	 613
KIAA0664L3 	 505
TAF11 	 622
HIRIP3 	 531
AGPAT5 	 651
FN1 	 2733
SRGAP2 	 586
RILPL2 	 775
ZNF490 	 391
HDAC4 	 402
ZNF397 	 384
RP11-436H11.1 	 199
STIM1 	 764
SPATA20 	 445
TIAL1 	 632
ZIC1 	 544
NAA30 	 671
ICOSLG 	 253
C6orf226 	 529
RP11-72I8.1 	 175
ODC1 	 163
DPF2 	 476
SELENBP1 	 262
SLC25A51 	 303
ATF4P3 	 350
RP11-553A10.1 	 2622
RP11-46C24.7 	 463
RP11-206L10.11 	 415
SPDYE3 	 297
EBNA1BP2 	 374
DBNL 	 766
C11orf95 	 655
ZNF425 	 513
ARAP2 	 906
RP11-314D7.2 	 105
CTTN 	 432
ALKBH6 	 470
ZC3H10 	 383
ELOVL1 	 637
STOML2 	 452
PRPF18 	 624
ZBTB9 	 1189
MRPS15 	 750
PRR24 	 499
TMEM120B 	 368
BMS1P1 	 114
SMEK2 	 486
VPS72 	 396
MRPS18B 	 0
YWHAZP5 	 395
MARS 	 548
NANOS1 	 334
EME2 	 420
ZNF248 	 438
SMARCE1 	 299
SLC25A11 	 448
TMEM201 	 407
KRT19P1 	 325
ANKRD39 	 559
HSDL1 	 672
MGAT4B 	 633
ACTN4 	 1351
MIR497HG 	 339
PSMG4 	 328
TTC5 	 481
DLD 	 616
RBM39 	 500
ZNF235 	 576
GAS2L3 	 294
HNRNPC 	 494
TAF5L 	 932
PFDN6 	 0
PCDHB3 	 542
CTC-228N24.3 	 793
GPAA1 	 533
RMND5B 	 442
FOXRED2 	 278
CTC-504A5.1 	 604
CDIPT 	 553
CCDC22 	 466
SPTAN1 	 761
TMA16 	 397
AC139099.3 	 772
FAM35B2 	 144
C16orf70 	 462
C16orf74 	 433
GSTK1 	 1117
EPB41L4A-AS1 	 428
CPT1A 	 491
E2F2 	 346
AP1G2 	 406
CAAP1 	 387
BARD1 	 555
PSMD14 	 853
PDE6D 	 522
BNIP2 	 425
TLK2 	 466
PPFIA3 	 431
PARP10 	 535
C11orf48 	 387
ZC3H18 	 446
GLRX5 	 594
ZDHHC6 	 333
BRAT1 	 411
PLA2G16 	 709
ZADH2 	 572
FLJ00104 	 329
NKAP 	 527
GLUD1 	 571
ARL17A 	 433
ZFHX3 	 903
MCC 	 564
NPIP 	 241
FAM103A2P 	 281
RNU1-7 	 0
PKNOX1 	 648
MMACHC 	 355
RNU1-8 	 0
SLC25A33 	 477
HIST1H2AI 	 486
PWP1 	 556
TMEM135 	 725
RNU1-1 	 0
HAX1 	 647
RNU1-5 	 0
NGDN 	 396
RNU1-3 	 0
SLC2A13 	 656
YWHAZ 	 581
RNU1-2 	 0
RPS20P14 	 502
SDHD 	 512
PSMD9 	 434
RNU1-4 	 0
OBSL1 	 343
B4GALNT4 	 524
CUTC 	 488
ELP2 	 453
PHKA2 	 428
PML 	 610
KPNA5 	 544
KYNU 	 511
PCDHB8 	 361
LYSMD1 	 558
DUS3L 	 437
GUSBP1 	 281
ZFP161 	 424
SYNJ2BP 	 832
GS1-184P14.2 	 1
RP11-721G13.1 	 296
GNAI2 	 773
BATF 	 1062
SDHA 	 436
RP11-622K12.1 	 423
ULBP2 	 2052
C2orf68 	 454
PAIP1 	 477
MEMO1P1 	 379
CILP2 	 260
ARFGAP3 	 685
POLR2H 	 308
TACO1 	 587
MAP3K11 	 587
SERPINB1 	 533
RNU1-9 	 0
IKBIP 	 550
RP11-509E16.1 	 399
IL27RA 	 395
RNU1-6 	 0
AC011933.2 	 32
PMPCA 	 396
MRFAP1L1 	 475
C7orf50 	 375
LTBR 	 963
AC092155.1 	 1
AC141928.1 	 611
RP6-105D16.1 	 45
DTWD2 	 445
CCDC137 	 487
INSIG1 	 728
JAK2 	 248
TIMM50 	 340
RP11-21L23.2 	 177
FAM118A 	 412
PPP4C 	 898
DDX18 	 346
LTB4R 	 256
RP11-215I23.4 	 0
B3GALTL 	 464
TSNARE1 	 446
RPP21 	 7
SLCO3A1 	 420
MRPL21 	 455
IPO5 	 475
OGFOD1 	 409
NAGK 	 551
ANKRD18A 	 288
NR2C2AP 	 267
CTC-479C5.12 	 581
MED15 	 792
MUS81 	 911
PRPF38A 	 605
ZNF271 	 599
AC079922.2 	 124
UTP11L 	 265
RP11-467M13.1 	 12
INTS3 	 568
MED25 	 503
RP11-83J16.1 	 18
COMMD10 	 399
RBBP8NL 	 839
GART 	 264
TAF6L 	 444
MTHFD2 	 559
CCRN4L 	 784
THRA 	 515
HTT 	 739
MTX1 	 458
ERVK3-1 	 356
MICAL3 	 978
E2F5 	 509
CRLF1 	 252
ZNF8 	 349
DDX46 	 433
ZNF814 	 292
TRGC1 	 116
ZBTB1 	 278
EXOC5 	 496
ENSAP2 	 344
CBR4 	 390
DUT 	 420
RP11-508M1.3 	 115
DNAJB4 	 950
KCTD7 	 562
VBP1 	 515
TRIM24 	 383
STAM 	 524
ARHGAP11A 	 284
TRMT61A 	 488
PRADC1 	 480
ITGA3 	 1506
PINK1 	 998
PCSK1N 	 952
ARNTL2 	 713
COG7 	 540
SLC38A6 	 388
SULF2 	 244
FTO 	 407
FAM102A 	 759
COMMD3 	 426
RP11-111F16.2 	 266
DDX56 	 393
KIAA0141 	 413
PTPRF 	 636
TRIP6 	 506
FBXO34 	 466
CNDP2 	 539
KLHL15 	 538
MRPL53 	 570
KCNMB1 	 3393
RCE1 	 542
LYRM2 	 487
XPNPEP3 	 300
RAB27B 	 1762
ZNF595 	 462
ZFYVE19 	 387
RP11-175O19.4 	 376
EMD 	 387
AC009237.8 	 548
ARL2BP 	 530
SREBF1 	 596
RP11-274B21.3 	 179
PCDH7 	 1549
EEF1A1P8 	 61
DDX19A 	 420
ARMC7 	 541
TCEAL4 	 752
RELA 	 449
WBP2NL 	 209
NDUFS1 	 412
EEF1B2P3 	 399
DPAGT1 	 457
DHX38 	 535
MED10 	 598
NDUFA11 	 538
BCDIN3D 	 449
GPS2 	 457
RP11-132A1.4 	 173
KIAA0100 	 556
KIF13B 	 1099
GTPBP6 	 278
SGMS2 	 711
PREB 	 426
BCL2 	 324
HEXA 	 341
SCAMP2 	 363
SLC27A3 	 453
ARHGEF37 	 861
ASAH2C 	 231
SEC22A 	 329
RP11-206M11.7 	 392
SPRTN 	 622
DNAJC27 	 550
RP11-697E2.7 	 393
HDAC1 	 514
ZZZ3 	 630
PRKD2 	 543
EIF5A2 	 448
SNAPC3 	 603
URM1 	 669
XPO1 	 402
DHX16 	 0
SNHG1 	 269
RP11-403I13.8 	 598
MTA2 	 398
SRD5A3 	 425
WDR77 	 444
ZNF316 	 537
CTAGE9 	 80
DMAP1 	 330
LINC00152 	 452
SEC24B 	 512
ZNF543 	 244
RP11-395N3.1 	 416
FLNB 	 872
AGA 	 538
SYNE4 	 216
CTA-221G9.10 	 392
CCDC106 	 205
CD99 	 389
RNF2 	 466
ACTR8 	 490
RP11-320P7.2 	 62
TCF20 	 382
MRPS34 	 439
GNPTG 	 463
ZNF780B 	 313
RHPN1 	 309
MRPL45 	 432
STUB1 	 485
KRT8P12 	 417
NFYB 	 611
WBP11 	 447
PVR 	 620
RP11-26F2.1 	 303
ENDOG 	 592
SMIM3 	 510
GREB1 	 175
CPOX 	 382
KRT18P17 	 156
MICAL1 	 496
FAM115B 	 385
PRPF4B 	 293
ID4 	 1163
FAM156B 	 203
RABGGTB 	 384
HIST1H4J 	 237
PAQR7 	 713
ATG4D 	 395
POP4 	 582
ATIC 	 450
WRAP73 	 455
FAM59A 	 622
GMIP 	 324
CTNNBIP1 	 427
TP53I13 	 437
PPP5C 	 482
GLUD2 	 361
PNPT1 	 469
VPS35 	 481
PKD1P6 	 58
AURKAIP1 	 558
POLR1C 	 385
MKI67IP 	 424
TSEN34 	 411
USP3 	 361
CDK2 	 444
TMC4 	 282
MED11 	 435
PPIAL4G 	 0
RP1-78O14.1 	 2073
PMPCB 	 504
CDK5R1 	 350
RP11-540D14.6 	 448
SLC35B3 	 537
SCAMP3 	 391
ACER2 	 660
CACYBP 	 477
RP11-296I10.3 	 328
HECTD3 	 653
ZNF141 	 439
RP11-264B17.3 	 455
ZNF117 	 798
FAM122B 	 548
PGS1 	 239
PCDHGB1 	 482
SWSAP1 	 452
DNAJC10 	 663
MAGED2 	 342
ZKSCAN2 	 488
MED1 	 470
RTN4 	 717
NPM1P5 	 478
PCDHAC2 	 1226
AL603965.1 	 298
LMCD1 	 1118
PVT1 	 359
UBE3C 	 578
AL591684.1 	 293
S100A10 	 293
ZNF193 	 400
EXD3 	 515
CYB5R4 	 464
DALRD3 	 299
RNF167 	 435
C20orf194 	 818
RGPD3 	 300
RPL21P28 	 16
GPR176 	 352
TSR3 	 359
WDR92 	 446
FTH1P23 	 29
SLC26A6 	 323
OS9 	 547
PCDHGB4 	 466
PHLDB3 	 724
CCM2 	 477
HSF1 	 476
RP11-269M20.1 	 0
FUT4 	 438
FJX1 	 247
NUDT5 	 419
TMEM238 	 511
FUNDC2 	 501
RBBP6 	 395
PPIL1 	 615
RRP1B 	 427
DCTN3 	 490
CHAC2 	 326
SYTL2 	 11
EEF1D 	 251
DSCC1 	 301
STS 	 1315
PHB 	 463
SPINT1 	 767
MRPL43 	 566
ZNF793 	 283
RP13-608F4.4 	 34
CCDC51 	 319
WBSCR22 	 587
FUBP1 	 293
OGFRL1 	 390
CHRAC1 	 545
MFSD12 	 461
PDIA3 	 486
KLF2 	 280
SCAND1 	 438
AQP3 	 565
SDF4 	 381
FXR1 	 441
RPL34 	 485
MRPS7 	 392
TRAPPC4 	 486
UCKL1 	 346
BARX2 	 155
SCARB1 	 530
HID1 	 647
ELF1 	 560
ZNF681 	 301
AGAP8 	 13
DDX50 	 365
SMYD4 	 377
TM4SF1 	 65
TMEM141 	 486
ZNF417 	 242
KLHL20 	 576
HINT2 	 439
ESCO2 	 175
COA1 	 327
CEP89 	 528
ABTB2 	 626
ASB16-AS1 	 344
UNC5C 	 456
TAX1BP1 	 524
FAM120B 	 436
NOP16 	 311
QARS 	 327
FBXO45 	 367
DIRAS1 	 298
POLR2J 	 541
RP11-817O13.8 	 230
DLX3 	 216
APBA3 	 475
ZBTB44 	 380
PQBP1 	 391
CNOT2 	 438
LRRC3 	 575
ZNF391 	 343
AC005822.1 	 181
MOCOS 	 321
IKZF2 	 1019
RPLP0P2 	 47
ATG3 	 300
RP11-574H13.2 	 0
SLC30A5 	 393
RP11-294K24.4 	 597
ERCC6 	 552
S100PBP 	 504
PLEKHM1P 	 415
ZNF830 	 376
NSUN5 	 155
PCDHB13 	 240
KRT6A 	 1203
SNX17 	 432
RPS10 	 524
GPR37 	 1069
DCAF11 	 336
MLLT11 	 1142
SEMA3D 	 1530
CNN2 	 983
RNF43 	 692
AHRR 	 212
EID1 	 503
AC004057.1 	 14
STX6 	 600
SLC9A1 	 945
TRIM27 	 1
RP11-346D6.6 	 772
RUVBL1 	 344
ZNRD1 	 0
PRPF31 	 432
RBM26 	 349
CASD1 	 575
SRSF6 	 263
MCTS1 	 449
DDR1 	 5
TNPO3 	 467
ACTR1A 	 489
RBL1 	 311
SH2B1 	 351
ZRSR2 	 437
HLA-DRB5 	 389
CALM2 	 360
OTUB2 	 434
THNSL2 	 392
GTSE1 	 219
USP9X 	 640
ZNF330 	 413
RASA3 	 613
SEMA3B 	 688
RP11-66B24.2 	 373
PRMT5 	 304
HEATR3 	 268
SLC39A4 	 261
ASAH2 	 195
CAMSAP1 	 324
BICD2 	 330
PRPF8 	 383
STXBP4 	 285
F2R 	 1203
ZNF697 	 467
SLC25A30 	 387
C11orf71 	 349
GABBR2 	 1197
FLII 	 529
SHCBP1 	 291
SMTN 	 663
LAMB2 	 454
ARL15 	 746
HMGN1P38 	 134
FASTK 	 347
SLC45A4 	 429
MTMR3 	 420
UFSP1 	 241
BSN 	 316
RNH1 	 393
MICALL1 	 718
CRIP2 	 884
ARRB1 	 462
NR1H2 	 642
SOX3 	 228
NCAPD2 	 435
APH1B 	 844
MRPL17 	 465
CENPV 	 194
SDK1 	 562
PILRB 	 200
DNAJB2 	 668
FGD1 	 347
ZNF91 	 366
CPNE1 	 288
RP4-659J6.2 	 307
ACSF3 	 328
TPBG 	 271
CCDC57 	 288
ASH1L 	 381
DDX19B 	 365
SREK1 	 399
NDUFS2 	 443
THG1L 	 471
IVNS1ABP 	 417
CARS 	 488
TCEA1P2 	 302
RP11-706O15.5 	 222
ARHGEF16 	 591
C18orf21 	 509
FAM157C 	 194
CCNYL1 	 745
GOLGA7B 	 916
SNAI1 	 255
MCM3AP 	 270
XK 	 298
ITGB1BP1 	 387
RP13-1032I1.7 	 299
AC005562.1 	 443
FTH1P3 	 5
PLLP 	 226
EDC4 	 371
CTD-3195I5.1 	 439
ZCCHC24 	 388
ZNF653 	 427
POLR2I 	 463
HMGB1P1 	 163
MCM9 	 311
POP1 	 408
SNRNP25 	 333
MATN3 	 1669
CCT2 	 472
IMPA1 	 359
HELLS 	 164
ZNF283 	 281
SIPA1L1 	 363
TSTD1 	 381
RP11-89C21.2 	 381
STAMBP 	 437
POLE3 	 409
WASH4P 	 46
NNT 	 138
PHPT1 	 185
MPST 	 272
CPPED1 	 645
TAS1R3 	 28
ZFAND1 	 363
ATXN2L 	 535
SCAND3 	 384
WDR6 	 227
SEC61A1 	 484
TCOF1 	 337
PDK3 	 330
AP4M1 	 282
AC005003.1 	 456
CIRH1A 	 366
RP11-244F12.3 	 450
CIZ1 	 374
OCEL1 	 408
CENPT 	 292
TMEM56 	 391
ALS2 	 518
FLOT1 	 0
SPECC1 	 660
SNX24 	 327
FICD 	 400
C9orf66 	 503
RPS7P1 	 324
CD151 	 525
CRIPAK 	 271
ISCU 	 529
GLI3 	 479
GTF2F1 	 418
SOBP 	 334
RP11-565J7.3 	 15
RP11-506N2.1 	 149
TMEM70 	 326
DDX47 	 728
SULT1A1 	 280
CTGLF10P 	 2
RP11-472I20.1 	 34
GPATCH3 	 449
RPL14P1 	 131
GLOD4 	 453
FBXO10 	 445
RDBP 	 0
NAALADL2 	 472
RP11-98D18.9 	 400
RP11-182L21.2 	 401
RP11-644F5.11 	 390
ZNF276 	 245
RP13-104F24.3 	 395
TTC27 	 337
COX10-AS1 	 278
TONSL 	 217
ATP5L 	 359
ISYNA1 	 141
WBP7 	 331
RP11-312O7.2 	 253
RRN3P3 	 403
VPRBP 	 374
GLRX3 	 416
MRPS12 	 269
HSPA12A 	 366
WASH6P 	 85
CCR1 	 1029
RABL6 	 521
NAA38 	 419
ZNF670 	 223
CTB-131K11.1 	 394
PYCR2 	 362
SMPD4 	 349
ECI1 	 273
RP4-773N10.4 	 353
RP11-543P15.1 	 97
IFI44L 	 222
ICMT 	 358
DPP7 	 348
RP11-505K9.1 	 389
HK1 	 511
MRM1 	 319
CLEC11A 	 211
ALG2 	 505
DNAJA3 	 357
DCDC2 	 355
SNW1 	 449
RP13-996F3.3 	 65
KIAA1429 	 416
AP001816.1 	 1135
PCDHA12 	 874
B3GAT2 	 480
CSNK1E 	 560
LIN37 	 374
RP11-472B18.2 	 330
RP11-660L16.2 	 299
TET1 	 308
PFDN2 	 430
SUV39H1 	 286
JRK 	 327
SLC22A5 	 257
SLC22A20 	 38
DIABLO 	 477
CLTC 	 302
CTD-2311B13.6 	 10
PARP14 	 587
RSRC1 	 391
KIAA0907 	 233
NUS1P1 	 398
ALDH7A1 	 228
AC018804.7 	 510
CABLES1 	 220
TSPAN3 	 648
MAX 	 346
GS1-44D20.1 	 483
RP11-337C18.8 	 534
AAGAB 	 440
SRP72 	 340
PDIA3P 	 554
RP11-152F13.3 	 61
LHX1 	 302
SAMD12 	 622
C21orf119 	 388
DENND4B 	 320
ARMC9 	 256
FGD6 	 885
FLJ14082 	 480
RP3-342P20.2 	 48
ITGB5 	 282
RAB17 	 314
CHCHD5 	 406
RP11-1166P10.9 	 12
WIZ 	 352
WNT9A 	 389
VASH1 	 263
CAST 	 832
RP11-473M20.7 	 301
PSMC6 	 342
RP11-508M1.8 	 118
AB019441.29 	 277
STK10 	 501
ARSG 	 416
FAM156A 	 114
MICALL2 	 461
DNAJB6 	 562
MKRN1 	 500
RP11-262H14.4 	 203
NR1D1 	 395
NAGA 	 347
RP11-64B16.2 	 199
RSU1 	 929
PDE3B 	 258
GCLC 	 456
HOXC-AS5 	 483
C15orf61 	 308
RP11-439A17.7 	 241
THAP10 	 523
RP11-152F13.2 	 43
RP11-680G24.4 	 281
ZNF880 	 267
FRAT1 	 212
POR 	 477
RPL9P9 	 84
CHAF1B 	 314
DERL2 	 400
HMBS 	 293
STK25 	 372
MRPL3 	 346
CCDC149 	 446
ZNF785 	 233
S100P 	 1481
APEH 	 331
ZNF256 	 225
ZBTB41 	 353
RP3-340B19.2 	 81
LAMP3 	 637
CRTAP 	 424
B3GNT9 	 424
BCL7C 	 447
TSPYL2 	 289
TMEM63C 	 810
RP11-146E13.6 	 15
SLC25A1 	 359
MED18 	 420
NUDCD1 	 343
CALCOCO1 	 350
RP5-1121A15.1 	 255
MFSD9 	 634
AKT1S1 	 299
PNISR 	 292
DNPEP 	 438
SPCS2 	 311
EFNA3 	 327
RP11-152F13.4 	 30
KIAA0753 	 289
DDX1 	 353
HERPUD2 	 352
XXYLT1 	 290
DENND2D 	 471
SPAG7 	 500
GTF2B 	 424
PSMC2 	 492
SMN1 	 193
ATP2B1 	 509
LAMTOR3 	 467
NXPE3 	 357
GOSR2 	 318
TMCC1 	 392
ATP6AP1 	 231
MARCH9 	 366
UBAP2L 	 271
WEE1 	 568
SPDL1 	 293
PFKFB4 	 374
CSRNP1 	 759
MMS22L 	 174
HTRA2 	 493
ADAM15 	 444
C14orf23 	 0
SIX1 	 291
LINC00638 	 286
GAPDHP1 	 331
STX10 	 273
PCBD2 	 283
AL139147.1 	 54
LYPD1 	 755
PSMG3 	 324
AL590822.1 	 1
NFE2L2 	 562
HIST1H4K 	 237
PTRH2 	 217
RP11-350F4.2 	 161
RP11-705C15.2 	 513
ACTL10 	 231
TIFA 	 255
WWP2 	 402
C21orf67 	 271
AP1B1 	 436
SERPINB9 	 64
STX11 	 1144
AC073150.4 	 378
RP11-144L1.8 	 227
YWHAZP2 	 197
MORF4L1P1 	 336
C16orf88 	 319
IMPDH1 	 280
GSG2 	 260
RPL30 	 389
CTAGE6P 	 17
HBEGF 	 1023
SCAP 	 341
LLGL1 	 330
MEX3A 	 290
RHPN1-AS1 	 478
ERBB2 	 498
HAGHL 	 222
CISD1 	 249
IPPK 	 571
ZNF517 	 214
CTD-2228K2.5 	 261
EPS8L2 	 586
USP32P3 	 97
RP11-18C24.6 	 407
SLC35F5 	 435
MIR3654 	 256
CTU1 	 368
ARSB 	 445
FAM117A 	 342
ORC2 	 384
NAE1 	 402
POLR2G 	 253
LRRFIP1P1 	 340
STAG3 	 252
PDIK1L 	 329
AGAP10 	 133
TMLHE 	 417
AC145212.1 	 123
RP11-145F16.2 	 282
GTF2H2 	 142
CTD-2008A1.2 	 157
FNBP1 	 340
CENPP 	 379
GBA 	 507
KLHL11 	 218
HTR7P1 	 359
FBXO2 	 519
PCCB 	 355
FBXO17 	 224
SKP2 	 189
ACAA1 	 492
RPL23P8 	 232
PEX12 	 366
THUMPD1 	 397
RP11-278J6.1 	 233
GNAZ 	 316
HAT1 	 384
SGCB 	 379
KIF1B 	 773
RP11-296E7.1 	 294
SSB 	 476
NUP133 	 308
ACVR1B 	 377
ZNF836 	 297
CCNL2 	 8
YME1L1 	 395
DMRTA1 	 621
ZNF223 	 306
PIAS3 	 406
NEK8 	 215
KRT222 	 220
TRIOBP 	 342
ABHD5 	 299
RBM4B 	 353
PKM 	 348
FAM50A 	 447
SLC22A4 	 348
TRAPPC3 	 387
MDN1 	 166
VPS51 	 324
LARP6 	 491
TECPR1 	 450
MALL 	 268
SNAPC1 	 530
NT5C 	 265
COX6C 	 240
RP11-421F16.3 	 520
ETV6 	 583
SH2B3 	 264
GDI2P2 	 162
CT45A6 	 49
RPSAP14 	 105
ATG4B 	 302
EPS15L1 	 244
C1orf210 	 399
BOLA3 	 375
MFSD10 	 287
TMEM45B 	 545
SRBD1 	 317
ATP6V1B2 	 339
SETD8 	 329
C17orf49 	 285
UBE2T 	 290
SOCS1 	 284
POLI 	 224
SPRY3 	 356
ZNF558 	 218
FOXP1 	 332
MAP3K5 	 657
BECN1 	 329
RP11-534G20.3 	 394
LRP6 	 383
TOX4 	 393
GGPS1 	 293
FAM72C 	 86
SGSM2 	 485
TRIM41 	 330
ZNF792 	 364
UACA 	 717
RPUSD1 	 282
NDUFV3 	 308
WDR73 	 247
YBX1P10 	 213
HARBI1 	 392
TMEM160 	 366
RP11-303E16.2 	 233
RANGAP1 	 554
KDM3B 	 343
WDR12 	 390
ZNF76 	 293
ZNF639 	 261
ID1 	 359
INPPL1 	 439
PLEKHH1 	 206
RP11-40C6.2 	 105
FAM43A 	 432
TDP1 	 246
BRMS1 	 374
CKAP5 	 270
SUPV3L1 	 266
AC108142.1 	 117
PEAK1 	 383
IFNGR1 	 414
RBM41 	 481
UAP1L1 	 375
AC104135.4 	 534
MTA1 	 360
ZNF773 	 224
FAM134A 	 436
TCEANC2 	 469
TMEM212 	 223
GAL 	 203
ADAM1A 	 158
AC004951.6 	 157
RP11-402J6.3 	 0
RP1-241P17.4 	 150
RP11-742N3.1 	 285
LIG3 	 221
RPS26P47 	 12
RPA1 	 277
C1orf115 	 455
GOLGA8I 	 163
FAM195B 	 231
STBD1 	 658
HSPA4L 	 265
ZNF837 	 306
PRPF6 	 305
ORAI3 	 398
ENKD1 	 358
SLC44A1 	 483
RP4-773N10.5 	 452
PPHLN1 	 8
RP5-882C2.2 	 360
MMP24-AS1 	 299
N4BP2L2 	 244
MIR22HG 	 462
PIP4K2C 	 508
KRT83 	 473
RP11-382J12.1 	 80
FADS3 	 301
RIPK2 	 439
BSDC1 	 386
VPS11 	 397
RHBDF1 	 299
WDR45 	 323
ABHD11 	 403
ERGIC1 	 590
PARD6G 	 332
RP11-175B9.3 	 90
CYB5R3 	 455
TRMT13 	 324
RAP1GDS1 	 341
P2RY2 	 215
RP11-65N13.4 	 299
ELAC2 	 326
DHRS3 	 1234
ZSWIM4 	 508
MAN2B2 	 411
PINK1-AS 	 418
NIP7 	 222
POLR2J2 	 115
INTS1 	 291
ABCB8 	 473
RP11-174G6.5 	 309
NME3 	 257
ANXA4 	 343
FOXO4 	 320
COQ5 	 375
TRNT1 	 80
AC006028.9 	 206
ZNF207 	 296
FABP5P7 	 106
CA4 	 397
AL356585.2 	 237
ZNF213 	 270
GTPBP3 	 176
EXTL3 	 251
C21orf33 	 394
MOV10 	 360
RNF144A 	 207
MTG1 	 192
PARP6 	 284
RFX3 	 331
KCNK12 	 247
TTC38 	 310
RRP1 	 284
TRNP1 	 297
SETDB1 	 245
FANCE 	 300
ZNF597 	 412
LINC00174 	 125
NUDT16 	 292
CTSA 	 359
PET100 	 277
KCTD1 	 488
TSEN54 	 280
HEATR7A 	 182
PGM2 	 334
STAG3L4 	 369
FTH1P8 	 181
CLIC1P1 	 2
CCL28 	 310
ZMIZ2 	 250
RP11-206L10.3 	 188
NFKBIE 	 498
CCDC84 	 163
ZNF718 	 85
ANXA5 	 315
ACSL6 	 5
TMEM242 	 357
COL5A2 	 1025
SNHG16 	 211
WI2-2998D17.2 	 754
NUBP2 	 263
CICP13 	 18
DISP1 	 363
RP1-37J18.2 	 0
KBTBD11 	 224
SRP19 	 343
LINC00265 	 204
SF3B2 	 375
TBC1D9B 	 310
SMG1 	 108
FBXO48 	 292
PABPC1L 	 163
RTEL1-TNFRSF6B 	 231
LSMD1 	 310
LRRC56 	 225
DYNC1I2 	 516
EDF1 	 202
WDR74 	 253
ATXN7L1 	 406
KANSL1L 	 343
B4GALT3 	 301
SAP30 	 292
MSRB2 	 280
RP5-1142A6.7 	 467
ZNF280D 	 349
MRPL38 	 366
POLR1B 	 182
FAM105A 	 499
RPL4P3 	 128
CCDC115 	 335
CST3 	 355
ZNF554 	 241
SSBP2 	 89
LRCH4 	 395
SYDE1 	 314
ZNF77 	 156
PAX9 	 209
DCLK1 	 473
FUT8 	 417
FTH1P11 	 59
RP11-204M4.2 	 123
BCL3 	 366
POMGNT1 	 309
VAT1L 	 509
SRSF11 	 291
GNL3 	 213
KIF4A 	 199
CPEB4 	 480
RP11-706O15.3 	 133
DHX34 	 180
RPL32P3 	 354
ADK 	 447
TNFRSF1A 	 376
DLL1 	 457
FIGN 	 1252
ZNF646 	 277
MRAS 	 259
ZBTB3 	 236
FBXO32 	 741
UTP15 	 278
SLC30A4 	 391
MMS19 	 276
GNL2 	 310
ZNF383 	 233
ZNF749 	 227
SEC24C 	 256
KIFC2 	 224
CHD3 	 228
SLC39A13 	 283
HCFC1 	 382
ADARB1 	 351
MAP2K5 	 358
RP11-600F24.1 	 8
TRAPPC2P1 	 307
ANP32A 	 440
NKX3-1 	 272
UGP2 	 539
SPCS1 	 330
SLC38A10 	 504
DDX20 	 290
ZNF829 	 170
FAM177A1 	 277
C8orf33 	 258
TUBGCP4 	 242
ZNF555 	 139
C17orf82 	 431
DVL2 	 346
TBL3 	 288
PCDHB9 	 222
CAV1 	 1339
RPS10L 	 24
MT1X 	 386
RPS7P10 	 249
EIF3FP3 	 276
MIR600HG 	 290
B3GNT3 	 673
KCNF1 	 229
HOXA5 	 295
ZNF354C 	 193
TFRC 	 379
TMEM184A 	 444
KAL1 	 552
AC012318.3 	 198
CBX1 	 458
SLC35E2B 	 25
TTC30A 	 450
MTCH1 	 379
TMEM161B 	 256
RP11-134G8.8 	 649
ASCC1 	 289
MALT1 	 329
NUCB1 	 353
FGFBP3 	 173
RAB3IP 	 187
BRF1 	 273
POLR2D 	 263
MAST2 	 423
CA5B 	 319
MRPS9 	 404
RP11-424C20.2 	 189
STX2 	 412
CMC1 	 346
RPS15A 	 407
ACTBP2 	 197
TTC30B 	 409
HOXB7 	 337
ZNF724P 	 196
ATP8A2 	 252
ARID3B 	 291
TCEAL1 	 390
AC112229.7 	 160
MCM5 	 202
C17orf61 	 208
DDX12P 	 75
CTD-2015H6.3 	 711
GSE1 	 252
RNF219 	 279
STK17A 	 263
RNPS1P1 	 139
ATL2 	 267
PDXDC1 	 348
SIRT7 	 271
CERCAM 	 290
CNOT1 	 279
MAEA 	 338
RPS19BP1 	 321
SCP2 	 276
AC008993.5 	 179
ITGB4 	 856
FBXW5 	 423
PKD1 	 59
POLR1D 	 475
PRKCI 	 378
DTX4 	 317
SHPK 	 330
